,comment_id,content
0,11325014668,"上午下单的，下午竟然就到了。很速度阿。表扬送货的小哥。
电脑用了以后感觉很cool，色彩也很好，唯一的遗憾是，背景灯取消了。不过重在使用，哈哈。
touch bar的话，可有可无，有了反而没有F1到F12键了，不知道以后要用f键要怎么搞。。。
前排提示要预先买一个type c转换的.不然u盘都没法插，还有us/b的任何东西没地方用上。 
送的电脑包好丑丑哦，还是自己买个好了，噗哈哈哈。希望这是个耐用的机子，对京东还是比较满意了。
顺便问下还招运营小姐姐嘛，我同学在贵司做内容运营，好想跳槽丫，嘤嘤嘤嘤"
1,11353805089,用了一段时间，感觉吧 还挺好的，屏幕无敌，触控板很舒服。刚开始还不适应苹果系统，适应了之后会发现它很简洁便捷，还是个学生，不玩游戏~软件专业，新手~目前在我手里还发挥不了多大性能，剁手割肉狠心买了一台，工作后也用不着换了。希望不久后能学有所成发挥这太电脑的价值，作为生产力高效的完成工作。 太贵了！！此电脑不适合玩游戏，不适合没耐心适应macos的人，适合专业人士工作用，当然，钱多任性的拿来娱乐的当我没说~~个人使用感受评价，不喜勿喷。
2,11290933311,整体还是很不错的，还没真正开始用，只说等一感觉！心痛早了一天，多花四旧水?，不过也无所谓了！花得出去就赚得回来！
3,11187561347,验证了是正品，质保期限满的，带bar的好用，和同事的比，速度快，轻便，打算做独立游戏开发用的，希望我能赚到钱。散热不错，电池一般般，有时候关盖子一晚上20百分比电量就没了，有时候又不会这样，整体满意。
4,10949870092,关注很久了～总之设计狗必备～买了没多久还在熟悉中，不知道没有鼠标，又在官网买了鼠标，后来发现又要买转换器&hellip;买个电脑，电脑等一天，鼠标等一天，转换器等一天，被寄几蠢哭了，所以有需要的宝宝们买的时候记得买全套～很好用，用ps很稳，苹果电脑真心不愧是完虐其他电脑，
5,10924841825,我感觉超级好 主要是被她的颜值折服哈哈哈 开心 性能也一定很好！毕竟pro！
6,10969112170,不错(*?&acute;╰╯`?)?很有质感！屏幕无敌！
7,10561082045,这款电脑不错 有就是插孔太少了 买的人记得买一个usb-c的转接口 因为只有两个usb-c接口和一个耳机接口 苹果系统很好用 就是win10系统盘内存太大了 装一个dnf和LOL就满了 usb3.0也识别不了 苹果系统的safari浏览器浏览有些网页显示不出来 还有插件每次都要问你要不要用 我装了双系统 感觉内存好小 平时上上网是很不错的选择 苹果标志的这一版面并没有灯 而是一块镜子 做工和显示屏很给力 因为我之前去专卖店看过苹果笔记本air的显示器 air有点沙粒 有点模糊 这款不会 去官网查询序列号是7月20的保修期 不知道为什么 反正我是过了618才买的 建议大家买的时候再买个鼠标 买个转接线 然后买个内胆包 好好保护一下 充电器充的时候太发热了 不知道是不是个人原因 洗完澡过来 充着电的电脑有点静电的感觉 建议各位同学玩游戏就不要买这款了 因为这款不配有散热器的 稍微玩一下下游戏就会发热 烫猪蹄啦 而且对电脑也会有损伤 键盘很好按 平时用机械键盘玩游戏的我 用这款键盘也能快速尔精准的打出每一个字 就是左下角的fn键有点不舒服。不知道干嘛用的 总而言之同学们做设计用这款笔记本倍棒
8,11012932305,没话说，小伙伴双11前在某B 买的，我双11京东下的单，只比他贵几百，但是我比他多了一个京东的售后支撑，至少我心里是放心的，另外第一次体验京尊达&hellip;好像真的是专车，因为送货的小哥是正装白手套，哈哈，让我虚荣心得到了满足，每个电商都有或多或少的毛病，反正我相信京东，确实不行还有京东售后嘛，退呗，换呗，最后一点希望京东不要放弃老客户，不要一门心思的发展plus会员了，我们这些老客户给你的支持不必买你一个会员少吧
9,11557922088,6月1号当天购买 首先觉得价格比较合适 重点是还可以白条6期免息 免息是重点 6.1当天是10488 并没有其他优惠券 就是这个价格进行的分期免息，东西都没毛病 都很好 重点是 因为是大额商品 所以默认使用京准达，因为看见当天可选择送达18前就可以送达。所以就填写了公司地址 当天周五 刚好公司收到 周末可以在家研究一下， 都晚上7点多了根本无任何配送信息，中间联系客服 各种官方话术在那绕弯子，然后后来给了个站点电话 ，站点负责人说今天肯定到不了 因为当时都快晚上八点了，就莫名的火大，如果你不能预估送达时间就提示一下用户 ，我完全可以写家里地址，然后我和站点人员说给我送家里地址吧，然后站点人员承诺第二天上午就可以送来，后来又被站点配送员把货带出来了，并且快递员快要配送到我单位了，单位都没人送毛线啊 最后自己晚上去站点拿的，客服当时说可以给我返100京东，搞笑呢我等了那么多时间，我的时间只值1块钱？就想说京东的快递送达时间 如果不能按照预定时间送达。 就不要把时间摆在那误导用户，最终客服反了20元无门槛优惠券，虽然还是觉得这件事觉得很令人恶心
10,11457778675,很不错，使用苹果系统，让人从以前习惯的Windows系统中抽离出来，学习一种新的，很有新鲜感，电脑也很快，硬件和软件融合度好，带touchbar的不错，很多时候非常方便，指纹解锁和支付很便捷，点赞。
11,11257523419,13919入手！心心念念的苹果本，全家桶基本算是凑齐了！系统需要稍微学习一下。但适应之后超级好用。感觉以我的使用强度应该是用不到鼠标的。自己去外面贴了屏幕膜，建议买个壳，因为我家里养猫。怕把外面划伤。感觉用它应该能战个七八年没啥问题了。
12,11431895665,"是新的包装，快递员蛮好，用起来不错。
基本没有认真评论过，不知道浪费了多少积分，这 个福利真的很不错，妥妥每次都写100多字，这是 第N次在网上买东西了，棒棒棒,好厉害好厉害, 东西便宜质量好，物美价廉，买的放心，用的放 心，开心，感觉都买上瘾了,买买买根本停不下来， 东西多而且又全，划算，方便，实惠，包装也好， 没有任何损坏，会一直支持下去的。足不出户就可 以买到所有日常生活需要的食物、日用品及生鲜水 果，简直是太合适了来基本没有认真评论过，不知 道浪费了多少积分，这个福利真的很不错，值得购 买，特意分享给大家。"
13,10976075423,超牛 超炫 赶上双十一  收到后迫不及待的打开  本本是一如既往的好  苹果不愧是行业老大  东西摆在那里  货真价实   喜欢? 再次感谢老板！
14,11411091812,"快递很准时，穿着西装打着领带的快递员好帅！！包装很好。在我的要求下快递员帮我打开盒子检查电脑表面，表面无划痕完美。电脑操作检验等我儿子下班回家弄，经过他这几天的使用各方面反应良好。客服回答问题很及时，由于我买的第二天店里有活动，联系客服后在他的指导下及时做了价保，多余的钱也按时退还到付款账户，非常满意的一次购物。
      送货当天我还在看评论，看到有质量不好却不能得到及时解决，我心里还是有点后悔在网上买，毕竟第一次在京东买上万的物品，怕电脑有质量问题被客服扯皮得不到妥善解决。还好我的电脑非常好没问题（截止今天评论）。所以，非常希望京东售后越来越好，顾客有问题都可以得到及时完善的解决，让顾客解除后顾之忧，那么京东的生意一定会越来越好，我们顾客买东西也能越来越方便越来越放心！！"
15,11047732158,完全被它的颜值征服了，特意用相机拍了一组照片，对于喜欢摄影的我来说，单反一直是我的小老婆，现在MacBook pro是我的小小老婆了，拍照前期是谱曲后期是演奏，一定要有一个好的后期输出设备，Retina屏简直惊艳到爆。之前看大家都在评论说触控板很好用，没亲自体验之前觉得大家在夸大其词，现在简直爱上这块超大触控板了，单手操作的效率可以媲美触控屏，可以完全抛弃鼠标。第一次开机的时候默认桌面壁纸和店铺首页图片还有大家晒单的照片壁纸不一样，检查了序列号是没问题的，电池循环次数1，我猜应该是后来新生产的机器都是这个壁纸吧，不知道大家有没有和我一样的。最后，花了很多钱买了一个电子产品，贵肯定是有贵的道理，能用它创造出价值来就是值得的。
16,10853989379,"机子贵的要死，买了还不敢说。老子真的是砸锅卖铁搞一台。以前用过一段时间，简直无敌。。外观 续航 逼格  OS 开发 。。入手一上午 感觉触摸板双指明明是滚轮操作怎么没反应  好像成了缩放，应该是还要设置啥子东西。触控板 真**大，感觉有时候还是有误触的识别，以为触摸板坏了。吓死老子了。。。
17款键盘键程确实短，不过适应一段时间个人觉得没问题，接口依旧如网上所说太少，只有两个超级前瞻的雷电3接口+3.5mm耳机口  。要哭的是我没多的设备接雷电3，真**是有钱人的玩意。好了 我要去搬砖了。

第一台 apple  第一台  mac  第一台 mbp 。  祝我好运～～ 哈哈 peace"
17,11524250831,终于到了  在购物车呆了一个月  今天终于到手了   首先快递是真快  京东就是不一样 专车送 档次高啊  然后  打开后  也没损坏  性能的话  用一段时间再说
18,11078045713,东西非常不错，很喜欢，加上之前在京东买的鼠标耳机，棒棒哒，12.13立即下手免息购买，非常棒，虽然中间有些小插曲，但是还是很好的，第一次用mac，感觉太爽了，跟windows不是一个级别的，哈哈
19,11073641773,关注挺久了，颜值高，耐搞，性能就不用说了，用过苹果手机的人用完都不想换其他品牌手机了。说实话苹果每革新一代产品，背后各种各样的吐槽，但是看了人家每年的销售额，是不是感觉被打脸。其他的不多说了感觉17款的pro无论从外观还是从体验上都比16款以前的好多了，薄，轻，按键体验也不错，我个人吐槽的唯一不完美的，充电器为什么取消了三孔了？usb接口也取消了，估计是因为太薄的原因，现在都用iPhone7以上手机了 为什么不能和手机上的耳机接口做成一致的呢？不过总体感觉还不错，厉害了我的果
