,comment_id,product_id,guid,content,create_time,reference_id,reference_time,score,nickname,user_level,is_mobile,user_client
0,11325014668,5225342,675f117d-0016-4af4-a1e7-36919ebc1630,"上午下单的，下午竟然就到了。很速度阿。表扬送货的小哥。
电脑用了以后感觉很cool，色彩也很好，唯一的遗憾是，背景灯取消了。不过重在使用，哈哈。
touch bar的话，可有可无，有了反而没有F1到F12键了，不知道以后要用f键要怎么搞。。。
前排提示要预先买一个type c转换的.不然u盘都没法插，还有us/b的任何东西没地方用上。 
送的电脑包好丑丑哦，还是自己买个好了，噗哈哈哈。希望这是个耐用的机子，对京东还是比较满意了。
顺便问下还招运营小姐姐嘛，我同学在贵司做内容运营，好想跳槽丫，嘤嘤嘤嘤",2018-03-19 21:43:12,4335099,2018-03-19 09:35:19,5,小狐狸Lisa,PLUS会员,True,来自京东iPhone客户端
1,11353805089,5225342,07384415-67f1-4a68-ab1e-189c65590e39,用了一段时间，感觉吧 还挺好的，屏幕无敌，触控板很舒服。刚开始还不适应苹果系统，适应了之后会发现它很简洁便捷，还是个学生，不玩游戏~软件专业，新手~目前在我手里还发挥不了多大性能，剁手割肉狠心买了一台，工作后也用不着换了。希望不久后能学有所成发挥这太电脑的价值，作为生产力高效的完成工作。 太贵了！！此电脑不适合玩游戏，不适合没耐心适应macos的人，适合专业人士工作用，当然，钱多任性的拿来娱乐的当我没说~~个人使用感受评价，不喜勿喷。,2018-03-29 20:53:58,4335127,2018-03-13 10:23:17,5,A***7,金牌会员,True,来自京东Android客户端
2,11290933311,5225342,fcf04354-3530-418f-9f59-950916104c12,整体还是很不错的，还没真正开始用，只说等一感觉！心痛早了一天，多花四旧水?，不过也无所谓了！花得出去就赚得回来！,2018-03-08 10:43:52,5225342,2018-03-07 17:09:41,5,小***0,PLUS会员,True,来自京东iPhone客户端
3,11187561347,5225342,bd042aa4-331d-44b3-b9e7-c2ef8a7dbc8a,验证了是正品，质保期限满的，带bar的好用，和同事的比，速度快，轻便，打算做独立游戏开发用的，希望我能赚到钱。散热不错，电池一般般，有时候关盖子一晚上20百分比电量就没了，有时候又不会这样，整体满意。,2018-01-24 23:06:00,4331155,2018-01-13 10:58:59,5,jd_137643tdg,钻石会员,True,来自京东Android客户端
4,10949870092,5225342,646db5b9-5fa0-45a3-a458-54c54c723b94,关注很久了～总之设计狗必备～买了没多久还在熟悉中，不知道没有鼠标，又在官网买了鼠标，后来发现又要买转换器&hellip;买个电脑，电脑等一天，鼠标等一天，转换器等一天，被寄几蠢哭了，所以有需要的宝宝们买的时候记得买全套～很好用，用ps很稳，苹果电脑真心不愧是完虐其他电脑，,2017-11-10 22:20:23,4331153,2017-11-01 14:14:12,5,王***2,钻石会员,True,来自京东iPhone客户端
5,10924841825,5225342,533b9a14-f75b-42ec-89b3-329ea6d79b1d,我感觉超级好 主要是被她的颜值折服哈哈哈 开心 性能也一定很好！毕竟pro！,2017-11-04 19:03:34,4331151,2017-11-03 22:15:24,5,j***1,银牌会员,True,来自京东Android客户端
6,10969112170,5225342,e947e629-c158-41d6-9479-94d00b8b25bb,不错(*?&acute;╰╯`?)?很有质感！屏幕无敌！,2017-11-14 14:06:52,4335021,2017-11-11 11:08:54,5,阿***n,钻石会员,True,来自京东Android客户端
7,10561082045,5225342,4fd817cc-9e93-4555-9a06-7dd7a1aefcbd,这款电脑不错 有就是插孔太少了 买的人记得买一个usb-c的转接口 因为只有两个usb-c接口和一个耳机接口 苹果系统很好用 就是win10系统盘内存太大了 装一个dnf和LOL就满了 usb3.0也识别不了 苹果系统的safari浏览器浏览有些网页显示不出来 还有插件每次都要问你要不要用 我装了双系统 感觉内存好小 平时上上网是很不错的选择 苹果标志的这一版面并没有灯 而是一块镜子 做工和显示屏很给力 因为我之前去专卖店看过苹果笔记本air的显示器 air有点沙粒 有点模糊 这款不会 去官网查询序列号是7月20的保修期 不知道为什么 反正我是过了618才买的 建议大家买的时候再买个鼠标 买个转接线 然后买个内胆包 好好保护一下 充电器充的时候太发热了 不知道是不是个人原因 洗完澡过来 充着电的电脑有点静电的感觉 建议各位同学玩游戏就不要买这款了 因为这款不配有散热器的 稍微玩一下下游戏就会发热 烫猪蹄啦 而且对电脑也会有损伤 键盘很好按 平时用机械键盘玩游戏的我 用这款键盘也能快速尔精准的打出每一个字 就是左下角的fn键有点不舒服。不知道干嘛用的 总而言之同学们做设计用这款笔记本倍棒,2017-06-26 13:50:01,4335021,2017-06-21 23:50:09,5,a***9,钻石会员,True,来自京东iPhone客户端
8,11012932305,5225342,d29a9f10-d69d-4bea-9c16-76bd250b7424,没话说，小伙伴双11前在某B 买的，我双11京东下的单，只比他贵几百，但是我比他多了一个京东的售后支撑，至少我心里是放心的，另外第一次体验京尊达&hellip;好像真的是专车，因为送货的小哥是正装白手套，哈哈，让我虚荣心得到了满足，每个电商都有或多或少的毛病，反正我相信京东，确实不行还有京东售后嘛，退呗，换呗，最后一点希望京东不要放弃老客户，不要一门心思的发展plus会员了，我们这些老客户给你的支持不必买你一个会员少吧,2017-11-25 18:25:40,4331155,2017-11-01 08:24:07,5,贫***哼,PLUS会员,True,来自京东iPhone客户端
9,11557922088,5225342,b7518d40-42e0-414e-984f-74a36c1cc681,6月1号当天购买 首先觉得价格比较合适 重点是还可以白条6期免息 免息是重点 6.1当天是10488 并没有其他优惠券 就是这个价格进行的分期免息，东西都没毛病 都很好 重点是 因为是大额商品 所以默认使用京准达，因为看见当天可选择送达18前就可以送达。所以就填写了公司地址 当天周五 刚好公司收到 周末可以在家研究一下， 都晚上7点多了根本无任何配送信息，中间联系客服 各种官方话术在那绕弯子，然后后来给了个站点电话 ，站点负责人说今天肯定到不了 因为当时都快晚上八点了，就莫名的火大，如果你不能预估送达时间就提示一下用户 ，我完全可以写家里地址，然后我和站点人员说给我送家里地址吧，然后站点人员承诺第二天上午就可以送来，后来又被站点配送员把货带出来了，并且快递员快要配送到我单位了，单位都没人送毛线啊 最后自己晚上去站点拿的，客服当时说可以给我返100京东，搞笑呢我等了那么多时间，我的时间只值1块钱？就想说京东的快递送达时间 如果不能按照预定时间送达。 就不要把时间摆在那误导用户，最终客服反了20元无门槛优惠券，虽然还是觉得这件事觉得很令人恶心,2018-06-05 17:19:20,4331185,2018-06-01 10:37:48,5,心***你,钻石会员,True,来自京东iPhone客户端
